Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
Weekly provisional figures on deaths registered in England and Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week number,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Week ended,NA,42741,42748,42755,42762,42769,42776,42783,42790,42797,42804,42811,42818,42825,42832,42839,42846,42853,42860,42867,42874,42881,42888,42895,42902,42909,42916,42923,42930,42937,42944,42951,42958,42965,42972,42979,42986,42993,43000,43007,43014,43021,43028,43035,43042,43049,43056,43063,43070,43077,43084,43091,43098
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total deaths, all ages",NA,11991,13715,13610,12877,12485,12269,11644,11794,11248,11077,10697,10325,10027,9939,8493,9644,10908,9064,10693,10288,10040,8332,9766,9367,9627,9334,9263,9376,9113,8882,8941,9038,9299,9382,8149,9497,9454,9534,9689,9778,9940,10031,9739,9984,10346,10275,10621,10538,10781,11217,12517,8487
Total deaths: average of corresponding,NA,11782,12692,11773,11441,11128,10935,10835,10983,10980,10816,10641,10193,9863,10001,10624,10625,10246,9984,9158,9902,9640,8417,9170,9473,9117,8956,8959,8893,8946,8889,8762,8772,8802,8953,8062,8940,8929,8923,9120,9248,9411,9452,9563,9562,9871,10030,9861,9858,10322,10353,11130,7831
week over the previous 5 years1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Deaths by underlying cause2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)",2321,2690,2625,2373,2147,2093,1932,1872,1766,1660,1561,1436,1324,1378,1143,1311,1435,1154,1423,1325,1286,1076,1229,1062,1215,1170,1012,1141,959,1004,1009,937,1081,1121,940,1058,1022,1088,1153,1208,1219,1199,1144,1244,1314,1362,1319,1436,1497,1603,1905,1431
NA,Persons 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,58,56,54,52,55,57,49,47,53,54,59,55,65,59,38,68,70,44,41,38,71,49,57,60,65,54,60,56,64,37,47,55,50,51,45,53,48,49,45,66,48,62,54,40,47,48,50,56,58,39,52,23
NA,01-14,18,18,19,16,14,17,18,20,22,17,7,13,20,21,20,19,20,18,23,18,21,12,27,20,17,13,23,23,19,15,12,17,20,11,18,17,18,21,27,20,11,13,25,18,20,9,20,21,20,19,20,18
NA,15-44,215,287,301,286,308,293,295,286,254,316,274,268,307,277,235,280,273,268,323,291,307,223,308,259,300,275,293,270,331,280,269,257,293,286,211,273,277,294,243,284,245,293,269,288,322,308,310,295,268,267,307,172
NA,45-64,1232,1372,1374,1273,1239,1342,1316,1298,1252,1240,1260,1256,1202,1181,1003,1130,1315,1035,1275,1320,1187,995,1227,1188,1175,1121,1202,1144,1210,1184,1131,1141,1146,1095,997,1190,1207,1157,1160,1171,1185,1165,1166,1243,1251,1242,1308,1216,1224,1282,1397,895
NA,65-74,1880,2149,2132,1946,1930,1940,1811,1816,1823,1756,1722,1739,1656,1705,1468,1585,1822,1529,1813,1794,1722,1475,1632,1663,1570,1656,1622,1660,1541,1539,1510,1580,1568,1549,1448,1613,1641,1614,1686,1677,1678,1731,1658,1659,1734,1682,1728,1737,1761,1776,1995,1275
NA,75-84,3450,3886,3701,3652,3509,3483,3242,3214,3142,3086,3015,2940,2838,2748,2397,2834,3132,2557,3019,2854,2744,2361,2785,2554,2715,2676,2584,2694,2531,2439,2542,2620,2601,2667,2279,2644,2628,2623,2698,2677,2846,2836,2765,2875,2889,2901,2962,2945,3027,3176,3523,2444
NA,85+,5136,5947,6029,5652,5430,5129,4913,5112,4699,4608,4360,4054,3939,3947,3330,3721,4276,3613,4196,3973,3983,3217,3727,3619,3785,3536,3477,3528,3415,3388,3427,3368,3617,3723,3148,3703,3634,3776,3830,3881,3926,3929,3802,3860,4081,4084,4234,4266,4423,4658,5220,3654
NA,Males 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,32,33,28,28,27,29,33,26,32,29,38,27,32,35,20,39,41,25,22,20,40,29,37,30,36,36,33,30,31,20,27,26,27,29,26,34,23,29,21,38,27,30,34,30,26,26,24,33,38,23,25,15
NA,01-14,9,10,10,7,8,9,10,8,14,5,4,7,12,8,8,13,10,11,11,10,10,9,20,12,12,7,15,11,12,10,6,8,11,9,6,11,12,13,16,10,5,7,14,14,14,8,11,10,13,10,10,12
NA,15-44,143,199,183,189,209,196,176,173,153,211,171,174,196,186,145,172,167,167,192,192,192,141,203,172,194,166,182,158,224,170,170,179,196,182,126,197,189,196,161,192,149,191,168,181,212,208,220,200,168,173,188,97
NA,45-64,718,819,837,763,751,825,794,754,733,748,744,762,705,701,634,658,784,648,752,787,737,604,746,726,698,672,731,690,727,704,700,685,678,665,611,690,707,694,669,672,706,717,712,737,736,723,763,735,760,753,849,529
NA,65-74,1070,1237,1202,1164,1149,1136,1071,1031,1039,1045,996,1000,969,1005,849,943,1104,892,1088,1061,1022,864,950,949,905,982,984,982,938,931,887,946,927,894,845,968,949,944,952,964,965,1022,975,977,1057,963,1016,991,1029,1048,1114,665
NA,75-84,1803,2015,1902,1893,1854,1754,1719,1680,1646,1636,1573,1612,1519,1491,1255,1529,1687,1345,1631,1506,1448,1260,1486,1372,1490,1405,1397,1446,1331,1289,1356,1393,1381,1439,1222,1432,1432,1426,1438,1403,1534,1504,1452,1563,1583,1557,1596,1585,1619,1690,1796,1289
NA,85+,1907,2230,2282,2074,2059,1887,1884,1923,1768,1760,1672,1512,1455,1565,1250,1423,1655,1441,1657,1503,1553,1204,1477,1400,1465,1314,1391,1398,1358,1304,1304,1326,1414,1452,1221,1451,1452,1488,1532,1568,1519,1545,1494,1454,1608,1616,1624,1633,1736,1791,2004,1410
NA,Females 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,26,23,26,24,28,28,16,21,21,25,21,28,33,24,18,29,29,19,19,18,31,20,20,30,29,18,27,26,33,17,20,29,23,22,19,19,25,20,24,28,21,32,20,10,21,22,26,23,20,16,27,8
NA,01-14,9,8,9,9,6,8,8,12,8,12,3,6,8,13,12,6,10,7,12,8,11,3,7,8,5,6,8,12,7,5,6,9,9,2,12,6,6,8,11,10,6,6,11,4,6,1,9,11,7,9,10,6
NA,15-44,72,88,118,97,99,97,119,113,101,105,103,94,111,91,90,108,106,101,131,99,115,82,105,87,106,109,111,112,107,110,99,78,97,104,85,76,88,98,82,92,96,102,101,107,110,100,90,95,100,94,119,75
NA,45-64,514,553,537,510,488,517,522,544,519,492,516,494,497,480,369,472,531,387,523,533,450,391,481,462,477,449,471,454,483,480,431,456,468,430,386,500,500,463,491,499,479,448,454,506,515,519,545,481,464,529,548,366
NA,65-74,810,912,930,782,781,804,740,785,784,711,726,739,687,700,619,642,718,637,725,733,700,611,682,714,665,674,638,678,603,608,623,634,641,655,603,645,692,670,734,713,713,709,683,682,677,719,712,746,732,728,881,610
NA,75-84,1647,1871,1799,1759,1655,1729,1523,1534,1496,1450,1442,1328,1319,1257,1142,1305,1445,1212,1388,1348,1296,1101,1299,1182,1225,1271,1187,1248,1200,1150,1186,1227,1220,1228,1057,1212,1196,1197,1260,1274,1312,1332,1313,1312,1306,1344,1366,1360,1408,1486,1727,1155
