Category,Counts,Date,WeekNo
"Total deaths, all ages",12968,2010-01-08,1
"Total deaths, all ages",12541,2010-01-15,2
"Total deaths, all ages",11762,2010-01-22,3
"Total deaths, all ages",11056,2010-01-29,4
"Total deaths, all ages",10524,2010-02-05,5
"Total deaths, all ages",10117,2010-02-12,6
"Total deaths, all ages",10102,2010-02-19,7
"Total deaths, all ages",10295,2010-02-26,8
"Total deaths, all ages",9981,2010-03-05,9
"Total deaths, all ages",9792,2010-03-12,10
"Total deaths, all ages",9729,2010-03-19,11
"Total deaths, all ages",9631,2010-03-26,12
"Total deaths, all ages",8004,2010-04-02,13
"Total deaths, all ages",9756,2010-04-09,14
"Total deaths, all ages",9892,2010-04-16,15
"Total deaths, all ages",9449,2010-04-23,16
"Total deaths, all ages",9503,2010-04-30,17
"Total deaths, all ages",8343,2010-05-07,18
"Total deaths, all ages",9483,2010-05-14,19
"Total deaths, all ages",9190,2010-05-21,20
"Total deaths, all ages",9452,2010-05-28,21
"Total deaths, all ages",8178,2010-06-04,22
"Total deaths, all ages",9259,2010-06-11,23
"Total deaths, all ages",8513,2010-06-18,24
"Total deaths, all ages",8461,2010-06-25,25
"Total deaths, all ages",8973,2010-07-02,26
"Total deaths, all ages",8627,2010-07-09,27
"Total deaths, all ages",8541,2010-07-16,28
"Total deaths, all ages",8261,2010-07-23,29
"Total deaths, all ages",8257,2010-07-30,30
"Total deaths, all ages",8467,2010-08-06,31
"Total deaths, all ages",8318,2010-08-13,32
"Total deaths, all ages",8584,2010-08-20,33
"Total deaths, all ages",8635,2010-08-27,34
"Total deaths, all ages",7708,2010-09-03,35
"Total deaths, all ages",8961,2010-09-10,36
"Total deaths, all ages",8727,2010-09-17,37
"Total deaths, all ages",8943,2010-09-24,38
"Total deaths, all ages",8759,2010-10-01,39
"Total deaths, all ages",9195,2010-10-08,40
"Total deaths, all ages",9218,2010-10-15,41
"Total deaths, all ages",9286,2010-10-22,42
"Total deaths, all ages",9275,2010-10-29,43
"Total deaths, all ages",9668,2010-11-05,44
"Total deaths, all ages",9406,2010-11-12,45
"Total deaths, all ages",9437,2010-11-19,46
"Total deaths, all ages",9473,2010-11-26,47
"Total deaths, all ages",9220,2010-12-03,48
"Total deaths, all ages",11193,2010-12-10,49
"Total deaths, all ages",10880,2010-12-17,50
"Total deaths, all ages",11484,2010-12-24,51
"Total deaths, all ages",9689,2010-12-31,52
Total deaths: average of corresponding,12050,2010-01-08,1
Total deaths: average of corresponding,12600,2010-01-15,2
Total deaths: average of corresponding,11692.2,2010-01-22,3
Total deaths: average of corresponding,11069.2,2010-01-29,4
Total deaths: average of corresponding,10840.4,2010-02-05,5
Total deaths: average of corresponding,10602.4,2010-02-12,6
Total deaths: average of corresponding,10774.8,2010-02-19,7
Total deaths: average of corresponding,10715.2,2010-02-26,8
Total deaths: average of corresponding,10793.8,2010-03-05,9
Total deaths: average of corresponding,10572.8,2010-03-12,10
Total deaths: average of corresponding,10432.2,2010-03-19,11
Total deaths: average of corresponding,9646.8,2010-03-26,12
Total deaths: average of corresponding,10315,2010-04-02,13
Total deaths: average of corresponding,10013.8,2010-04-09,14
