Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53
Weekly provisional figures on deaths registered in England and Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Week ended,41642,41649,41656,41663,41670,41677,41684,41691,41698,41705,41712,41719,41726,41733,41740,41747,41754,41761,41768,41775,41782,41789,41796,41803,41810,41817,41824,41831,41838,41845,41852,41859,41866,41873,41880,41887,41894,41901,41908,41915,41922,41929,41936,41943,41950,41957,41964,41971,41978,41985,41992,41999
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total deaths, all ages",11448,11847,11061,10374,10258,10147,10198,10427,10377,9828,10005,9832,9622,9944,9504,8000,9359,10527,8613,9513,9313,8034,9557,9414,8946,8931,8763,8784,9119,8965,8916,8755,8792,8769,8027,9671,9284,9107,9048,9271,9173,9464,9603,9586,9753,10036,9472,9928,10267,10550,11681,7837
Total deaths: average of corresponding,12328,12938.8,11586.4,11115.4,10710.4,10363.4,10455.799999999999,10410.6,10207.6,10173.799999999999,10102,9905.7999999999993,9121,9639.3999999999996,9940.6000000000004,9999.7999999999993,9610.3999999999996,9519.7999999999993,9122.6000000000004,9395,9367.2000000000007,8472.6000000000004,8762.3999999999996,9046,8771.6000000000004,8711.6000000000004,8742.3999999999996,8513,8510,8490.7999999999993,8521.3999999999996,8481.7999999999993,8512.6000000000004,8605,7795.3999999999996,8628.3999999999996,8603,8663,8911.2000000000007,8976,9056.2000000000007,9136.3999999999996,9321,9439.2000000000007,9414.3999999999996,9535.6000000000004,9492.3999999999996,9398.7999999999993,10111.799999999999,10323.6,10886.4,8310
week over the previous five years1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deaths by underlying cause2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)",:,1783,1676,1512,1492,1418,1442,1607,1519,1497,1412,1312,1296,1363,1320,1042,1279,1434,1165,1185,1190,1049,1211,1150,1033,1162,1032,1038,1042,1066,1051,1023,1018,924,979,1139,1082,1051,1080,1075,1069,1091,1203,1180,1244,1277,1135,1213,1463,1552,1950,1366
ICD-10 v 2010 (NCHS),1779,1925,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Persons 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Under 1 year,36,47,67,48,54,47,58,58,70,44,52,54,76,45,59,49,55,49,40,48,65,45,56,58,52,51,38,44,42,57,52,58,57,58,40,50,57,57,56,54,66,49,56,51,47,60,49,64,62,40,50,37
01-14,16,25,15,18,21,24,27,28,22,20,26,15,19,18,23,18,20,23,17,20,17,21,32,22,15,17,26,32,24,19,20,22,18,15,15,13,23,13,17,22,21,19,19,25,16,12,16,18,26,24,24,16
15-44,213,276,278,301,313,303,328,310,312,329,332,330,270,310,299,243,277,356,226,291,319,210,301,292,313,285,251,296,276,234,312,248,293,268,246,247,300,262,292,288,270,273,285,312,289,300,288,321,339,300,285,189
45-64,1269,1391,1326,1228,1249,1246,1196,1191,1240,1170,1276,1225,1206,1174,1160,951,1087,1283,1015,1162,1144,986,1170,1136,1144,1173,1143,1098,1180,1109,1114,1155,1151,1128,988,1167,1146,1137,1097,1113,1158,1158,1122,1119,1153,1156,1092,1224,1194,1202,1258,782
65-74,1868,1885,1727,1696,1656,1566,1652,1634,1744,1607,1629,1612,1529,1645,1627,1344,1573,1722,1468,1592,1628,1409,1639,1575,1472,1536,1498,1428,1546,1507,1520,1455,1420,1453,1346,1641,1487,1510,1501,1481,1483,1551,1571,1593,1537,1631,1547,1642,1674,1715,1835,1238
75-84,3308,3482,3215,3008,2951,2937,2959,2985,2989,2867,2867,2895,2852,2915,2631,2362,2801,3043,2543,2690,2669,2279,2748,2725,2663,2558,2495,2545,2622,2628,2556,2514,2533,2515,2360,2858,2701,2667,2637,2680,2640,2732,2808,2771,2875,2933,2733,2894,2935,3085,3279,2247
85+,4738,4739,4433,4075,4014,4021,3966,4220,4000,3790,3816,3696,3670,3823,3701,3029,3544,4049,3304,3709,3469,3078,3608,3602,3287,3311,3312,3339,3424,3409,3339,3302,3318,3332,3032,3695,3570,3459,3447,3631,3535,3681,3742,3715,3834,3937,3729,3757,4037,4180,4950,3327
Males 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Under 1 year,20,26,27,29,27,28,33,31,34,24,27,33,39,19,39,29,33,29,23,23,38,29,36,34,24,23,21,20,21,29,29,28,27,26,25,20,35,37,34,33,32,21,30,34,29,32,24,36,35,21,23,22
01-14,12,17,6,12,11,17,15,18,11,11,8,9,9,10,15,12,11,10,10,12,10,11,23,18,9,13,16,19,12,12,10,13,11,10,12,7,13,5,11,15,9,10,8,17,10,4,8,8,10,16,15,10
15-44,125,152,175,194,200,193,218,200,196,210,209,215,175,184,203,153,178,220,149,165,199,130,192,194,194,173,162,182,167,145,203,164,190,170,153,145,203,168,190,191,175,172,175,197,183,185,193,212,220,208,184,128
45-64,731,831,782,742,765,770,698,705,718,702,771,729,722,700,717,582,633,763,603,694,701,591,698,706,673,719,682,677,713,637,687,691,720,665,566,686,689,665,693,647,701,711,676,649,684,673,651,719,743,689,750,447
65-74,1043,1089,1002,977,980,892,981,949,1043,922,959,955,904,961,922,750,922,1003,886,940,964,820,977,918,868,897,927,840,924,888,869,842,826,830,761,992,911,931,911,828,854,912,926,952,880,980,919,956,952,959,1100,690
75-84,1700,1835,1659,1586,1555,1518,1535,1547,1588,1478,1454,1479,1501,1568,1402,1270,1464,1583,1362,1420,1415,1217,1455,1481,1421,1378,1310,1377,1383,1374,1322,1304,1354,1358,1212,1498,1429,1381,1364,1420,1383,1447,1495,1405,1568,1529,1440,1515,1549,1662,1679,1145
85+,1767,1753,1648,1524,1439,1542,1505,1684,1427,1407,1396,1391,1392,1465,1421,1145,1381,1496,1264,1386,1246,1153,1399,1392,1278,1203,1246,1256,1295,1266,1261,1175,1280,1221,1162,1348,1378,1247,1266,1379,1358,1390,1387,1398,1427,1467,1398,1413,1512,1529,1856,1205
Females 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Under 1 year,16,21,40,19,27,19,25,27,36,20,25,21,37,26,20,20,22,20,17,25,27,16,20,24,28,28,17,24,21,28,23,30,30,32,15,30,22,20,22,21,34,28,26,17,18,28,25,28,27,19,27,15
01-14,4,8,9,6,10,7,12,10,11,9,18,6,10,8,8,6,9,13,7,8,7,10,9,4,6,4,10,13,12,7,10,9,7,5,3,6,10,8,6,7,12,9,11,8,6,8,8,10,16,8,9,6
15-44,88,124,103,107,113,110,110,110,116,119,123,115,95,126,96,90,99,136,77,126,120,80,109,98,119,112,89,114,109,89,109,84,103,98,93,102,97,94,102,97,95,101,110,115,106,115,95,109,119,92,101,61
45-64,538,560,544,486,484,476,498,486,522,468,505,496,484,474,443,369,454,520,412,468,443,395,472,430,471,454,461,421,467,472,427,464,431,463,422,481,457,472,404,466,457,447,446,470,469,483,441,505,451,513,508,335
65-74,825,796,725,719,676,674,671,685,701,685,670,657,625,684,705,594,651,719,582,652,664,589,662,657,604,639,571,588,622,619,651,613,594,623,585,649,576,579,590,653,629,639,645,641,657,651,628,686,722,756,735,548
75-84,1608,1647,1556,1422,1396,1419,1424,1438,1401,1389,1413,1416,1351,1347,1229,1092,1337,1460,1181,1270,1254,1062,1293,1244,1242,1180,1185,1168,1239,1254,1234,1210,1179,1157,1148,1360,1272,1286,1273,1260,1257,1285,1313,1366,1307,1404,1293,1379,1386,1423,1600,1102
