Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
Weekly provisional figures on deaths registered in England and Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week number,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Week ended,NA,43105,43112,43119,43126,43133,43140,43147,43154,43161,43168,43175,43182,43189,43196,43203,43210,43217,43224,43231,43238,43245,43252,43259,43266,43273,43280,43287,43294,43301,43308,43315,43322,43329,43336,43343,43350,43357,43364,43371,43378,43385,43392,43399,43406,43413,43420,43427,43434,43441,43448,43455,43462
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total deaths, all ages",NA,12723,15050,14256,13935,13285,12495,12246,12142,10854,12997,12788,11913,9941,10794,12301,11223,10306,10153,8624,10141,9636,8147,9950,9343,9256,9212,9258,9293,9127,9141,9161,9319,8830,8978,7865,9445,9191,9305,9150,9503,9649,9864,9603,9529,10151,10193,9957,10033,10287,10550,11116,7131
Total deaths: average of corresponding,NA,12079,13167,12418,11954,11605,11333,11059,11125,11037,10935,10774,10289,9944,10286,10328,10395,10381,9807,9526,9978,9727,8163,9767,9313,9232,9052,9030,9018,9032,8890,8763,8818,8905,9033,8162,9069,9091,9063,9285,9388,9511,9602,9601,9692,10003,10104,10050,10087,10509,10519,11343,7909
week over the previous 5 years1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Deaths by underlying cause2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)",2361,3075,2829,2672,2479,2197,2081,2128,1900,2302,2271,1946,1657,1761,1971,1641,1426,1369,1055,1248,1179,1065,1270,1150,1103,1055,1086,1123,1107,1019,1005,1019,941,921,827,1098,999,1034,987,1050,1124,1141,1154,1090,1295,1268,1240,1224,1341,1386,1509,1053
NA,Persons 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,52,73,59,50,41,45,48,26,45,47,47,46,43,46,36,54,57,51,48,52,60,46,46,60,55,43,50,48,45,59,62,59,64,44,51,45,55,69,50,40,47,43,65,46,44,47,62,58,45,51,41,22
NA,01-14,18,17,22,25,14,23,17,13,11,27,17,15,20,22,25,21,12,21,21,24,13,18,19,17,21,22,23,21,15,13,18,18,11,22,11,20,18,18,10,17,20,18,24,24,12,29,22,20,15,13,23,11
NA,15-44,208,302,286,298,339,293,318,294,254,287,329,278,261,260,337,301,340,308,247,300,294,250,298,286,308,306,286,304,304,291,286,328,253,250,233,323,275,292,270,287,328,301,309,289,308,292,312,317,326,295,333,166
NA,45-64,1290,1561,1507,1459,1404,1347,1377,1378,1229,1362,1316,1349,1065,1229,1382,1386,1213,1363,1115,1330,1258,998,1195,1199,1161,1184,1150,1140,1166,1193,1155,1175,1130,1083,1017,1196,1180,1171,1083,1200,1212,1209,1200,1151,1157,1238,1223,1246,1218,1265,1306,792
NA,65-74,1976,2321,2191,2157,1988,2032,1953,1896,1728,2019,1989,1917,1586,1764,2053,1880,1707,1725,1437,1760,1659,1431,1700,1607,1613,1652,1548,1600,1577,1566,1536,1608,1558,1601,1442,1621,1600,1623,1607,1627,1607,1654,1657,1569,1666,1716,1700,1658,1696,1814,1867,1205
NA,75-84,3612,4155,3866,3824,3661,3376,3492,3398,3028,3691,3594,3342,2884,3013,3442,3109,2906,2907,2384,2791,2687,2330,2881,2670,2550,2508,2611,2633,2484,2628,2620,2563,2489,2560,2150,2638,2576,2601,2629,2696,2741,2769,2642,2700,2949,2819,2766,2829,2965,2962,3136,2013
NA,85+,5565,6621,6325,6122,5838,5374,5041,5137,4559,5564,5496,4966,4082,4460,5026,4472,4071,3778,3372,3884,3665,3074,3811,3504,3548,3497,3590,3547,3536,3391,3484,3568,3325,3418,2961,3602,3487,3531,3501,3636,3694,3870,3706,3750,4015,4052,3872,3905,4022,4150,4410,2922
NA,Males 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,32,42,33,26,24,26,24,18,25,26,25,35,21,28,19,29,32,29,26,29,33,27,32,33,27,23,26,25,28,36,33,30,38,30,30,27,29,42,29,16,23,26,34,27,24,24,35,32,24,26,24,10
NA,01-14,11,5,12,18,8,13,11,7,6,16,7,5,7,13,14,10,6,14,12,16,8,14,9,7,13,15,15,15,8,10,12,11,7,8,8,9,9,11,6,7,14,14,15,15,7,15,8,5,9,9,15,7
NA,15-44,118,186,185,219,216,190,196,206,168,195,219,182,179,167,220,191,227,201,163,205,170,171,193,182,203,193,181,204,187,197,190,237,161,165,151,194,179,179,184,173,229,195,202,192,195,196,197,205,220,190,222,103
NA,45-64,748,918,888,889,809,816,836,840,745,806,798,810,674,718,812,830,731,815,648,791,731,581,723,698,696,726,697,677,703,727,685,725,669,659,575,709,722,709,652,709,699,760,702,677,687,734,700,733,701,747,810,450
NA,65-74,1120,1347,1268,1273,1186,1183,1168,1067,998,1158,1157,1133,921,1029,1197,1106,980,1008,841,1017,994,845,968,949,994,936,892,957,925,922,863,960,918,901,815,985,922,945,929,965,987,965,953,937,971,986,982,953,991,1057,1112,694
NA,75-84,1865,2120,2009,1978,1960,1786,1851,1731,1579,1945,1879,1732,1580,1605,1870,1678,1522,1539,1280,1509,1431,1259,1510,1479,1382,1346,1418,1421,1333,1417,1357,1439,1311,1381,1123,1361,1353,1373,1443,1461,1451,1493,1474,1448,1589,1519,1455,1504,1573,1576,1680,1051
NA,85+,2080,2499,2390,2264,2204,2043,1999,1915,1751,2142,2075,1885,1505,1699,1974,1722,1566,1511,1343,1543,1509,1210,1524,1368,1447,1393,1443,1388,1455,1277,1388,1378,1339,1365,1177,1475,1387,1431,1397,1443,1437,1549,1466,1530,1549,1684,1568,1531,1532,1598,1708,1146
NA,Females 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,20,31,26,24,17,19,24,8,20,21,22,11,22,18,17,25,25,22,22,23,27,19,14,27,28,20,24,23,17,23,29,29,26,14,21,18,26,27,21,24,24,17,31,19,20,23,27,26,21,25,17,12
NA,01-14,7,12,10,7,6,10,6,6,5,11,10,10,13,9,11,11,6,7,9,8,5,4,10,10,8,7,8,6,7,3,6,7,4,14,3,11,9,7,4,10,6,4,9,9,5,14,14,15,6,4,8,4
NA,15-44,90,116,101,79,123,103,122,88,86,92,110,96,82,93,117,110,113,107,84,95,124,79,105,104,105,113,105,100,117,94,96,91,92,85,82,129,96,113,86,114,99,106,107,97,113,96,115,112,106,105,111,63
NA,45-64,542,643,619,570,595,531,541,538,484,556,518,539,391,511,570,556,482,548,467,539,527,417,472,501,465,458,453,463,463,466,470,450,461,424,442,487,458,462,431,491,513,449,498,474,470,504,523,513,517,518,496,342
NA,65-74,856,974,923,884,802,849,785,829,730,861,832,784,665,735,856,774,727,717,596,743,665,586,732,658,619,716,656,643,652,644,673,648,640,700,627,636,678,678,678,662,620,689,704,632,695,730,718,705,705,757,755,511
NA,75-84,1747,2035,1857,1846,1701,1590,1641,1667,1449,1746,1715,1610,1304,1408,1572,1431,1384,1368,1104,1282,1256,1071,1371,1191,1168,1162,1193,1212,1151,1211,1263,1124,1178,1179,1027,1277,1223,1228,1186,1235,1290,1276,1168,1252,1360,1300,1311,1325,1392,1386,1456,962
